time,wx,wy,wz
1.113,0.01,0.03,0.01
1.117,0.01,0.03,0.02
1.121,0.00,0.03,0.02
1.125,0.00,0.03,0.03
1.129,-0.00,0.03,0.04
1.133,-0.01,0.03,0.04
1.137,-0.01,0.02,0.05
1.141,-0.01,0.02,0.05
1.146,-0.00,0.03,0.06
1.148,0.00,0.04,0.06
1.152,0.01,0.04,0.07
1.157,0.01,0.04,0.07
1.161,0.01,0.04,0.08
1.165,0.01,0.04,0.08
1.169,0.00,0.04,0.09
1.172,0.00,0.04,0.09
1.177,-0.01,0.04,0.10
1.180,-0.01,0.04,0.10
1.184,-0.02,0.04,0.10
1.188,-0.02,0.04,0.10
1.193,-0.02,0.04,0.10
1.198,-0.02,0.05,0.09
1.200,-0.02,0.04,0.08
1.204,-0.03,0.04,0.07
1.215,-0.02,0.03,0.06
1.215,-0.02,0.03,0.05
1.216,-0.01,0.03,0.04
1.220,-0.01,0.03,0.03
1.224,-0.00,0.02,0.02
1.228,-0.00,0.01,0.01
1.231,0.00,0.01,0.00
1.239,0.00,0.01,-0.01
1.239,0.01,0.01,-0.01
1.244,0.00,0.01,-0.01
1.248,0.00,0.02,-0.01
1.252,-0.00,0.01,-0.02
1.255,-0.01,0.01,-0.02
1.259,-0.02,0.01,-0.02
1.264,-0.02,0.01,-0.02
1.266,-0.02,0.01,-0.02
1.271,-0.02,0.01,-0.02
1.275,-0.02,0.00,-0.02
1.281,-0.01,0.01,-0.02
1.282,-0.01,0.01,-0.01
1.288,-0.00,0.01,-0.01
1.291,0.00,0.01,-0.01
1.301,-0.00,0.01,-0.02
1.302,-0.01,0.00,-0.04
1.302,-0.02,0.01,-0.07
1.307,-0.02,0.02,-0.09
1.312,-0.01,0.01,-0.09
1.315,-0.00,-0.00,-0.07
1.318,0.01,-0.01,-0.05
1.323,0.01,-0.01,-0.04
1.326,0.01,-0.01,-0.05
1.331,-0.00,-0.00,-0.07
1.334,-0.01,0.01,-0.08
1.338,-0.01,0.02,-0.08
1.342,-0.00,0.02,-0.08
1.347,0.01,0.01,-0.06
1.350,0.02,-0.01,-0.04
1.354,0.02,-0.02,-0.03
1.358,0.02,-0.02,-0.02
1.364,0.01,-0.01,-0.01
1.366,0.00,-0.00,-0.00
1.370,-0.01,-0.00,0.00
1.373,-0.02,-0.00,0.01
1.382,-0.03,-0.00,0.02
1.382,-0.04,-0.01,0.02
1.391,-0.05,-0.02,0.02
1.392,-0.05,-0.03,0.02
1.393,-0.04,-0.03,0.02
1.403,-0.04,-0.02,0.02
1.404,-0.04,-0.02,0.02
1.405,-0.03,-0.01,0.02
1.409,-0.03,-0.00,0.01
1.413,-0.02,-0.00,0.01
1.418,-0.02,0.00,0.01
1.422,-0.02,0.01,0.01
1.425,-0.02,0.02,0.01
1.429,-0.02,0.02,0.01
1.433,-0.03,0.01,0.01
1.437,-0.03,0.01,0.01
1.441,-0.04,0.01,0.01
1.445,-0.05,0.01,0.01
1.449,-0.04,0.01,0.00
1.453,-0.05,0.01,0.00
1.456,-0.05,0.02,0.00
1.461,-0.03,0.02,0.00
1.465,-0.02,0.02,0.00
1.469,-0.02,0.01,0.00
1.473,-0.02,0.01,0.00
1.477,-0.01,0.01,0.00
1.483,-0.01,0.01,-0.00
1.484,-0.01,0.02,-0.01
1.489,-0.01,0.02,-0.01
1.492,-0.02,0.02,-0.02
1.503,-0.01,0.02,-0.02
1.504,-0.02,0.02,-0.03
1.504,-0.02,0.01,-0.04
1.508,-0.01,0.02,-0.05
1.513,-0.02,0.01,-0.06
1.516,-0.02,0.01,-0.07
1.522,-0.02,0.00,-0.08
1.523,-0.01,-0.00,-0.09
1.529,-0.02,-0.01,-0.10
1.532,-0.01,-0.01,-0.10
1.536,-0.01,-0.02,-0.10
1.539,-0.01,-0.02,-0.10
1.543,-0.01,-0.02,-0.11
1.548,-0.01,-0.01,-0.11
1.552,-0.01,-0.01,-0.10
1.555,-0.01,-0.01,-0.10
1.559,-0.01,-0.01,-0.10
1.564,-0.01,-0.02,-0.10
1.567,-0.01,-0.02,-0.10
1.572,-0.02,-0.01,-0.10
1.575,-0.02,-0.01,-0.09
1.583,-0.02,-0.01,-0.08
1.583,-0.02,-0.01,-0.08
1.591,-0.02,-0.01,-0.07
1.591,-0.02,-0.01,-0.05
1.608,-0.01,-0.00,-0.04
1.609,-0.01,0.00,-0.02
1.609,-0.01,0.01,-0.00
1.609,-0.00,0.02,0.01
1.610,-0.01,0.03,0.02
1.618,-0.01,0.03,0.03
1.619,-0.01,0.02,0.04
1.623,-0.01,0.02,0.04
1.626,-0.00,0.02,0.03
1.631,0.01,0.02,0.03
1.634,0.01,0.02,0.02
1.638,0.00,0.01,0.00
1.643,-0.00,0.01,-0.00
1.646,-0.01,0.00,-0.01
1.651,-0.01,0.00,-0.02
1.654,-0.01,0.00,-0.02
1.658,-0.02,0.00,-0.03
1.662,-0.03,-0.00,-0.03
1.667,-0.03,-0.00,-0.03
1.670,-0.03,-0.01,-0.02
1.674,-0.03,-0.01,-0.02
1.679,-0.03,-0.01,-0.01
