time,gFx,gFy,gFz,TgF
1.833000,0.1200,0.9904,0.1027,1.003
1.838000,0.1134,0.9921,0.1008,1.004
1.842000,0.1136,0.9919,0.1039,1.004
1.849000,0.1183,0.9909,0.1030,1.003
1.852000,0.1217,0.9907,0.1030,1.003
1.857000,0.1278,0.9911,0.1066,1.005
1.863000,0.1317,0.9926,0.1110,1.007
1.867000,0.1190,0.9916,0.1101,1.005
1.873000,0.1161,0.9921,0.1074,1.005
1.877000,0.1197,0.9909,0.1035,1.003
1.885000,0.1239,0.9943,0.0996,1.007
1.887000,0.1276,0.9916,0.0944,1.004
1.892000,0.1278,0.9911,0.0998,1.004
1.898000,0.1266,0.9909,0.1032,1.004
1.901000,0.1256,0.9914,0.1035,1.005
1.906000,0.1232,0.9929,0.1044,1.006
1.911000,0.1258,0.9933,0.1054,1.007
1.919000,0.1285,0.9919,0.1076,1.006
1.921000,0.1283,0.9914,0.1108,1.006
1.926000,0.1266,0.9907,0.1066,1.004
1.931000,0.1246,0.9916,0.1071,1.005
1.936000,0.1258,0.9909,0.1083,1.005
1.941000,0.1290,0.9911,0.1071,1.005
1.947000,0.1302,0.9899,0.1022,1.004
1.951000,0.1276,0.9907,0.0981,1.004
1.956000,0.1290,0.9911,0.0961,1.004
1.961000,0.1271,0.9902,0.0917,1.002
1.966000,0.1244,0.9914,0.0905,1.003
1.970000,0.1175,0.9924,0.0876,1.003
1.975000,0.1207,0.9933,0.0927,1.005
1.980000,0.1280,0.9938,0.0993,1.007
1.985000,0.1307,0.9914,0.1047,1.005
1.990000,0.1298,0.9914,0.1076,1.006
1.995000,0.1258,0.9924,0.1079,1.006
1.999000,0.1224,0.9924,0.1086,1.006
2.005000,0.1207,0.9931,0.1044,1.006
2.009000,0.1207,0.9907,0.1035,1.003
2.015000,0.1219,0.9931,0.1037,1.006
2.019000,0.1202,0.9929,0.1017,1.005
2.024000,0.1229,0.9911,0.1030,1.004
2.029000,0.1217,0.9916,0.1035,1.004
2.034000,0.1205,0.9921,0.1020,1.005
2.039000,0.1229,0.9904,0.1015,1.003
2.044000,0.1241,0.9914,0.1015,1.004
2.049000,0.1254,0.9897,0.1032,1.003
2.054000,0.1219,0.9911,0.1042,1.004
2.059000,0.1219,0.9904,0.1042,1.003
2.066000,0.1222,0.9926,0.1066,1.006
2.069000,0.1232,0.9904,0.1061,1.004
2.073000,0.1224,0.9941,0.1091,1.008
2.078000,0.1200,0.9933,0.1069,1.006
2.084000,0.1215,0.9921,0.1110,1.006
2.088000,0.1229,0.9909,0.1088,1.004
2.093000,0.1236,0.9931,0.1042,1.006
2.098000,0.1249,0.9921,0.1025,1.005
2.103000,0.1261,0.9926,0.0991,1.005
2.107000,0.1249,0.9899,0.1017,1.003
2.112000,0.1236,0.9931,0.1027,1.006
2.118000,0.1227,0.9931,0.1064,1.006
2.122000,0.1261,0.9909,0.1071,1.005
2.127000,0.1236,0.9931,0.0996,1.006
2.134000,0.1202,0.9914,0.0956,1.003
2.137000,0.1229,0.9938,0.0971,1.006
2.142000,0.1266,0.9931,0.0976,1.006
2.154000,0.1283,0.9924,0.0998,1.006
2.155000,0.1273,0.9921,0.1030,1.006
2.157000,0.1249,0.9904,0.1047,1.004
2.162000,0.1222,0.9924,0.1081,1.006
2.168000,0.1185,0.9924,0.1020,1.005
2.173000,0.1200,0.9924,0.0974,1.004
2.177000,0.1205,0.9904,0.0964,1.002
2.181000,0.1205,0.9911,0.0954,1.003
2.186000,0.1215,0.9931,0.1010,1.006
2.191000,0.1239,0.9899,0.1015,1.003
2.197000,0.1232,0.9892,0.1027,1.002
2.201000,0.1224,0.9911,0.1042,1.004
2.206000,0.1246,0.9919,0.1025,1.005
2.211000,0.1273,0.9926,0.1032,1.006
2.216000,0.1334,0.9909,0.1005,1.005
2.220000,0.1339,0.9914,0.1054,1.006
2.225000,0.1254,0.9924,0.1103,1.006
2.231000,0.1195,0.9926,0.1091,1.006
2.235000,0.1202,0.9931,0.1052,1.006
